date,7.62x51mm BPZ,7.62x51mm M62,7.62x51mm M80,7.62x51mm UN
2025-09-08 21:00:00,348.0,4767.0,1618.0,113.0
2025-09-08 22:00:00,348.0,4767.0,1618.0,113.0
2025-09-08 23:00:00,338.0,4767.0,1618.0,113.0
2025-09-09 00:00:00,348.0,4767.0,1618.0,113.0
2025-09-09 01:00:00,348.0,4767.0,1618.0,113.0
2025-09-09 02:00:00,343.0,4767.0,1578.0,113.0
2025-09-09 03:00:00,338.0,4767.0,1538.0,113.0
2025-09-09 04:00:00,328.0,4767.0,1578.0,113.0
2025-09-09 05:00:00,323.0,4767.0,1548.0,113.0
2025-09-09 06:00:00,313.0,4792.0,1558.0,113.0
2025-09-09 07:00:00,333.0,4667.0,1518.0,113.0
2025-09-09 08:00:00,333.0,4467.0,1578.0,113.0
2025-09-09 09:00:00,348.0,4542.0,1578.0,113.0
2025-09-09 10:00:00,348.0,4517.0,1598.0,113.0
2025-09-09 11:00:00,348.0,4567.0,1608.0,113.0
2025-09-09 12:00:00,328.0,4567.0,1578.0,113.0
2025-09-09 13:00:00,333.0,4567.0,1588.0,113.0
2025-09-09 14:00:00,348.0,4567.0,1618.0,113.0
2025-09-09 15:00:00,343.0,4667.0,1608.0,113.0
2025-09-09 16:00:00,348.0,4767.0,1618.0,113.0
2025-09-09 17:00:00,348.0,4767.0,1618.0,113.0
2025-09-09 18:00:00,348.0,4767.0,1578.0,113.0
2025-09-09 19:00:00,348.0,4767.0,1578.0,113.0
2025-09-09 20:00:00,358.0,4767.0,1618.0,113.0
2025-09-09 21:00:00,358.0,4767.0,1618.0,113.0
2025-09-09 22:00:00,348.0,4767.0,1618.0,113.0
2025-09-09 23:00:00,338.0,4767.0,1578.0,113.0
2025-09-10 00:00:00,348.0,4767.0,1588.0,113.0
2025-09-10 01:00:00,363.0,4767.0,1618.0,113.0
2025-09-10 02:00:00,348.0,4742.0,1578.0,113.0
2025-09-10 03:00:00,348.0,4742.0,1578.0,113.0
2025-09-10 04:00:00,328.0,4692.0,1508.0,113.0
2025-09-10 05:00:00,348.0,4867.0,1558.0,113.0
2025-09-10 06:00:00,313.0,4867.0,1548.0,113.0
2025-09-10 07:00:00,313.0,4742.0,1528.0,113.0
2025-09-10 08:00:00,348.0,4642.0,1548.0,113.0
2025-09-10 09:00:00,328.0,4567.0,1558.0,113.0
2025-09-10 10:00:00,348.0,4517.0,1578.0,113.0
2025-09-10 11:00:00,348.0,4567.0,1578.0,113.0
2025-09-10 12:00:00,353.0,4567.0,1578.0,113.0
2025-09-10 13:00:00,368.0,4567.0,1608.0,113.0
2025-09-10 14:00:00,348.0,4667.0,1618.0,113.0
2025-09-10 15:00:00,348.0,4717.0,1618.0,113.0
2025-09-10 16:00:00,348.0,4817.0,1618.0,113.0
2025-09-10 17:00:00,348.0,4867.0,1618.0,113.0
2025-09-10 18:00:00,488.0,4767.0,1838.0,113.0
2025-09-10 19:00:00,483.0,4767.0,1818.0,113.0
2025-09-10 20:00:00,443.0,4767.0,1778.0,113.0
2025-09-10 21:00:00,428.0,4767.0,1778.0,113.0
2025-09-10 22:00:00,428.0,4767.0,1778.0,113.0
2025-09-10 23:00:00,408.0,4742.0,1748.0,113.0
2025-09-11 00:00:00,428.0,4767.0,1778.0,113.0
2025-09-11 01:00:00,468.0,4767.0,1798.0,113.0
2025-09-11 02:00:00,458.0,4767.0,1798.0,113.0
2025-09-11 03:00:00,438.0,4817.0,1738.0,113.0
2025-09-11 04:00:00,408.0,4867.0,1698.0,113.0
2025-09-11 05:00:00,408.0,4867.0,1698.0,113.0
2025-09-11 06:00:00,443.0,4867.0,1698.0,113.0
2025-09-11 07:00:00,428.0,4667.0,1708.0,113.0
2025-09-11 08:00:00,413.0,4567.0,1728.0,113.0
2025-09-11 09:00:00,448.0,4567.0,1708.0,113.0
2025-09-11 10:00:00,413.0,4567.0,1708.0,113.0
2025-09-11 11:00:00,418.0,4567.0,1738.0,113.0
2025-09-11 12:00:00,428.0,4567.0,1698.0,113.0
2025-09-11 13:00:00,438.0,4567.0,1738.0,113.0
2025-09-11 14:00:00,408.0,4592.0,1738.0,113.0
2025-09-11 15:00:00,428.0,4767.0,1738.0,113.0
2025-09-11 16:00:00,428.0,4867.0,1738.0,113.0
2025-09-11 17:00:00,418.0,4867.0,1738.0,113.0
2025-09-11 18:00:00,428.0,4792.0,1708.0,113.0
2025-09-11 19:00:00,428.0,4767.0,1688.0,113.0
2025-09-11 20:00:00,428.0,4767.0,1738.0,113.0
2025-09-11 21:00:00,428.0,4767.0,1738.0,113.0
2025-09-11 22:00:00,428.0,4767.0,1738.0,113.0
2025-09-11 23:00:00,423.0,4767.0,1738.0,113.0
2025-09-12 00:00:00,408.0,4767.0,1778.0,113.0
2025-09-12 01:00:00,553.0,4867.0,1878.0,113.0
2025-09-12 02:00:00,528.0,4867.0,1898.0,113.0
2025-09-12 03:00:00,488.0,4867.0,1898.0,113.0
2025-09-12 04:00:00,488.0,4867.0,1858.0,113.0
2025-09-12 05:00:00,508.0,4867.0,1858.0,113.0
2025-09-12 06:00:00,493.0,4867.0,1808.0,113.0
2025-09-12 07:00:00,508.0,4667.0,1828.0,113.0
2025-09-12 08:00:00,503.0,4667.0,1798.0,113.0
